Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
272,Which of the following algorithms can be used to most efficiently determine the presence of a cycle in a given graph ?,Depth First Search,Breadth First Search,Prim\'s Minimum Spanning Tree Algorithm,Kruskal\' Minimum Spanning Tree Algorithm,B,"To find cycle in a graph we can use the Depth First Traversal (DFS) technique. It is based on the idea that there is a cycle in a graph only if there is a back edge [i.e., a node points to one of its ancestors] present in the graph.To detect a back edge, we need to keep track of the nodes visited till now and the nodes that are in the current recursion stack [i.e., the current path that we are visiting]. If during recursion, we reach a node that is already in the recursion stack, there is a cycle present in the graph.Hence Option (A) is the correct answer.",Graph,Hard,High,0.2
273,Traversal of a graph is different from tree because,There can be a loop in graph so we must maintain a visited flag for every vertex,"DFS of a graph uses stack, but inorder traversal of a tree is recursive","BFS of a graph uses queue, but a time efficient BFS of a tree is recursive.",All of the above,B,"Depth First Traversal (or DFS) for a graph is similar to Depth First Traversal of a tree. The only catch here is, that, unlike trees, graphs may contain cycles (a node may be visited twice). To avoid processing a node more than once, use a boolean visited array. A graph can have more than one DFS traversal.Hence Option (A) is the correct answer.&nbsp;",Graph,Medium,Medium,0.25
274,"What are the appropriate data structures for following algorithms?

1) Breadth-First Search &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;2) Depth First Search&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;3) Prim's Minimum Spanning Tree &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;4) Kruskal' Minimum Spanning Tree &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;",&nbsp;Stack&nbsp;QueuePriority QueueUnion Find,QueueStackPriority QueueUnion Find,StackQueueUnion FindPriority Queue&nbsp;,Priority QueueQueueStackUnion Find,C,"&nbsp;Breadth First Search uses Queue&nbsp;&nbsp;Depth First Search uses Stack&nbsp;&nbsp;Prim's Minimum Spanning Tree uses Priority Queue.&nbsp;&nbsp;Kruskal' Minimum Spanning Tree uses Union Find.
Hence Option(B) is the correct answer.",Graph,Hard,High,0.2
275,The Breadth First Search algorithm has been implemented using the queue data structure. One possible order of visiting the nodes of the following graph is&nbsp;&nbsp;&nbsp;,MNOPQR,NQMPOR,QMNPRO,QMNPOR,D,"Option (A) is MNOPQR. It cannot be a BFS as the traversal starts with M, but O is visited before N and Q. In BFS all adjacent must be visited before adjacent of adjacent. Option (B) is NQMPOR. It also cannot be BFS, because here, P is visited before O. (C) and (D) match up to QMNP. We see that M was added to the queue before N and P (because M comes before NP in QMNP). Because R is M's neighbor, it gets added to the queue before the neighbor of N and P (which is O). Thus, R is visited before O.

Hence (C) is the correct answer.",Graph,Hard,High,0.2
276,"Let G be an undirected graph. Consider a depth-first traversal of G, and let T be the resulting depth-first search tree. Let u be a vertex in G and let v be the first new (unvisited) vertex visited after visiting u in the traversal. Which of the following statements is always true? (GATE CS 2000)","{u,v} must be an edge in G, and u is a descendant of v in T","{u,v} must be an edge in G, and v is a descendant of u in T","If {u,v} is not an edge in G then u is a leaf in T","If {u,v} is not an edge in G then u and v must have the same parent in T",D,"In DFS, if 'v' is visited
after 'u', then one of the following is true.
1) (u, v) is an edge.
     u
   /   \
  v     w
 /     / \
x     y   z

2) 'u' is a leaf node.
     w
   /   \
  x     v
 /     / \
u     y   z 
In DFS, after visiting a node, we first recur for all unvisited children. If there are no unvisited children (u is leaf), then control goes back to parent and parent then visits next unvisited children.

Hence (C) is the correct answer.",Graph,Easy,Low,0.27
277,"Consider the following graph,




Among the following sequences:
(I) a b e g h f 
(II) a b f e h g
(III) a b f h g e 
(IV) a f g h b e  
Which are depth first traversals of the above graph?","I, II and IV only",I and IV only,"II, III and IV only","I, III and IV only",E,"We can check all DFSs for following properties.

In DFS, if a vertex 'v' is visited
after 'u', then one of the following is true.
1) (u, v) is an edge.
     u
   /   \
  v     w
 /     / \
x     y   z

2) 'u' is a leaf node.
     w
   /   \
  x     v
 /     / \
u     y   z
In DFS, after visiting a node, we first recur for all unvisited children. If there are no unvisited children (u is leaf), then control goes back to parent and parent then visits next unvisited children.",Graph,Medium,Medium,0.25
278,Which of the following condition is sufficient to detect cycle in a directed graph?,There is an edge from currently being visited node to an already visited node.,There is an edge from currently being visited node to an ancestor of currently visited node in DFS forest.,Every node is seen twice in DFS.,None of the above,C,"To find cycle in a directed graph we can use the Depth First Traversal (DFS) technique. It is based on the idea that there is a cycle in a graph only if there is a back edge [i.e., a node points to one of its ancestors] present in the graph.To detect a back edge, we need to keep track of the nodes visited till now and the nodes that are in the current recursion stack [i.e., the current path that we are visiting]. If during recursion, we reach a node that is already in the recursion stack, there is a cycle present in the graph.If the graph is disconnected then get the DFS forest and check for a cycle in individual trees by checking back edges.Hence Option(B) is the correct answer.",Graph,Easy,Low,0.27
279,"Is following statement true/false If a DFS of a directed graph contains a back edge, any other DFS of the same graph will also contain at least one back edge.",TRUE,FALSE,,,B,"A back edge means a cycle in graph. So if there is a cycle, all DFS traversals would contain at least one back edge.",Graph,Easy,Low,0.27
280,Make is a utility that automatically builds executable programs and libraries from source code by reading files called makefiles which specify how to derive the target program. Which of the following standard graph algorithms is used by Make.,Strongly Connected Components,Topological Sorting,Breadth First Search,Dijkstra\'s Shortest Path,C,Make can decide the order of building software using topological sorting. Topological sorting produces the order considering all dependencies provide by makefile. See following for details. Topological SortingHence Option(B) is the correct answer.,Graph,Medium,Medium,0.25
281,"Given two vertices in a graph s and t, which of the two traversals (BFS and DFS) can be used to find if there is path from s to t?",Only BFS,Only DFS,Both BFS and DFS,Neither BFS nor DFS,D,We can use both traversals to find if there is a path from s to t.Hence Option(C) is the correct answer.,Graph,Medium,Medium,0.25
282,"Is the following statement true/false? A DFS of a directed graph always produces the same number of tree edges, i.e., independent of the order in which vertices are considered for DFS.&nbsp;",TRUE,FALSE,,,C,"The statement is false.A Depth-First Search (DFS) of a directed graph can produce a different number of tree edges depending on the order in which vertices are considered for the DFS. The number of tree edges in a DFS tree depends on the specific traversal path taken during the DFS.During a DFS, starting from a particular source vertex, the traversal explores the graph by visiting neighboring vertices in a systematic way. The order in which the neighboring vertices are visited impacts the formation of the DFS tree.Hence (B) is the correct answer.",Graph,Easy,Low,0.27
283,"If the DFS finishing time f[u] &gt; f[v] for two vertices u and v in a directed graph G, and u and v are in the same DFS tree in the DFS forest, then u is an ancestor of v in the depth-first tree.",TRUE,FALSE,,,C,"In a graph with three nodes, r u, and v, with edges (r; u) and (r; v), and r is the starting point for the DFS, u and v are siblings in the DFS tree, neither as the ancestor of the other.Hence the above statement si false.",Graph,Easy,Low,0.27
284,"Consider the DAG with Consider V = {1, 2, 3, 4, 5, 6}, shown below. Which of the following is NOT a topological ordering?&nbsp;",1 2 3 4 5 6,1 3 2 4 5 6,1 3 2 4 6 5,3 2 4 1 6 5,D,"In option D, 1 appears after 2 and 3 which is not possible in Topological Sorting. In the given DAG it is directly visible that there is an outgoing edge from vertex 1 to vertex 2 and 3 hence 2 and 3 cannot come before vertex 1 so clearly option D is an incorrect topological sort. But for questions in which it is not directly visible, we should know how to find a topological sort of a DAG.&nbsp; Hence Option(D) is the correct answer.",Graph,Medium,Medium,0.25
285,Let G be a graph with n vertices and m edges. What is the tightest upper bound on the running time on Depth First Search of G? Assume that the graph is represented using adjacency matrix.,O(n),O(m+n),O(n2),O(mn),D,"Depth First Search of a graph takes O(m+n) time when the graph is represented using adjacency list.

In adjacency matrix representation, graph is represented as an ""n x n"" matrix.  To do DFS, for every vertex, we traverse the row corresponding to that vertex to find all adjacent vertices (In adjacency list representation we traverse only the adjacent vertices of the vertex). Therefore time complexity becomes O(n2)",Graph,Medium,Medium,0.25
